title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes
The Professionals,MOVIE,1966,PG-13,117,"western, action, european",US,1,7,16168
Richard Pryor: Live in Concert,MOVIE,1979,R,78,"comedy, documentation",US,1,8,5141
The Long Riders,MOVIE,1980,R,99,"western, crime",US,1,6,11329
Cairo Station,MOVIE,1958,Uk,77,"drama, crime, comedy",EG,1,7,4385
The Queen,MOVIE,1968,Uk,68,documentation,US,1,7,1117
Hitler: A Career,MOVIE,1977,PG,150,"documentation, history, european",DE,1,7,2416
FTA,MOVIE,1972,R,97,"comedy, documentation, music",US,1,6,411
Saladin the Victorious,MOVIE,1963,Uk,186,"drama, war, action, history, romance",EG,1,7,2470
Singapore,MOVIE,1960,Uk,158,"drama, thriller, crime",IN,1,6,82
Dark Waters,MOVIE,1956,Uk,120,"drama, action, romance, thriller",EG,1,6,590
Alexandria… Why?,MOVIE,1979,Uk,133,drama,EG,1,7,1689
Raya and Sakina,MOVIE,1953,Uk,105,"drama, thriller, crime, history",EG,1,6,231
Amrapali,MOVIE,1966,Uk,120,fantasy,IN,1,6,225
Dostana,MOVIE,1980,Uk,161,"drama, comedy, romance, action, crime",IN,1,2,25
The Blazing Sun,MOVIE,1954,Uk,100,"romance, crime, drama",EG,1,7,1219
Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,,1,8,2144
The Return of the Prodigal Son,MOVIE,1976,Uk,124,"drama, crime","DZ, EG",1,7,768
Prince,MOVIE,1969,Uk,152,romance,IN,1,6,168
Manoranjan,MOVIE,1974,Uk,162,"comedy, drama, romance",IN,1,6,236
"Beirut, Oh Beirut",MOVIE,1975,Uk,110,drama,LB,1,6,106
We Are All for the Fatherland,MOVIE,1979,Uk,74,documentation,"FR, LB, CA",1,6,43
Whispers,MOVIE,1980,Uk,93,documentation,"FR, LB, CA",1,7,75
Lal Patthar,MOVIE,1971,Uk,153,drama,IN,1,6,137
Ujala,MOVIE,1959,Uk,142,"romance, crime, drama",IN,1,6,78
Alibaba Aur 40 Chor,MOVIE,1979,Uk,138,"drama, action, romance, family, fantasy","IN, SU",1,6,555
Professor,MOVIE,1962,Uk,163,"romance, comedy, drama",IN,1,6,285
Chadi Jawani Budhe Nu,MOVIE,1976,Uk,135,romance,IN,1,4,14
Bandie,MOVIE,1978,Uk,141,"drama, romance, action",IN,1,4,35
Khoon Khoon,MOVIE,1973,Uk,131,"drama, crime, thriller",IN,1,5,41
Thomas & Friends,SHOW,1984,TV-Y,10,"family, comedy, music, action, animation, fantasy, drama",GB,24,6,4948
She's Gotta Have It,MOVIE,1986,R,84,"comedy, romance",US,1,6,14277
Eddie Murphy Raw,MOVIE,1987,R,93,"comedy, documentation",US,1,7,19646
Endless Love,MOVIE,1981,R,116,"drama, romance",US,1,4,8374
Wheel of Fortune,SHOW,1983,TV-G,26,family,US,39,6,3126
Major Dad,SHOW,1989,TV-PG,24,"comedy, family",US,4,6,2866
Fireman Sam,SHOW,1987,TV-Y,10,"comedy, animation, family, crime, european",GB,13,6,1759
Danger Mouse,SHOW,1981,TV-Y,15,"comedy, family, scifi, animation, european",GB,10,7,3514
Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,Uk,133,"scifi, drama, war, animation, action",JP,1,7,1242
Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,Uk,120,"scifi, animation, action, drama, war",JP,1,7,1649
Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"comedy, documentation",US,1,7,651
